ID#age#job#marital#education#default#balance#housing#loan#contact#day#month#campaign#pdays#previous#poutcome#y
5121#28,0#services#single#secondary#no#-427,0#yes#yes#unknown#21#may#2,0#-1,0#0#unknown#no
37153#46,0#admin.#divorced#secondary#no#3201,0#yes#no#telephone#13#may#3,0#-1,0#0#unknown#no
32345#50,0#entrepreneur#married#secondary#no#854,0#no#no#cellular#16#apr#1,0#-1,0#0#unknown#no
14342##management#married#tertiary#no#1622,0#yes#yes#cellular#14#jul#11,0#-1,0#0#unknown#no
12785#40,0#admin.#single#secondary#no#-1,0#no#no#cellular#7#jul#1,0#-1,0#0#unknown#no
40392#45,0#management#married#tertiary#no#1529,0#no#no#cellular#30#jun#1,0#-1,0#0#unknown#no
39248#30,0#blue-collar#single#secondary#no#8950,0#yes#no#cellular#18#may#4,0#355,0#1#other#no
23989#31,0#technician#single#secondary#no#0,0#no#no#cellular#29#aug#2,0#-1,0#0#unknown#no
42030#65,0#retired#married#primary#no#1004,0#no#no#cellular#28#oct#1,0#-1,0#0#unknown#yes
13247#34,0#admin.#married#tertiary#no#434,0#no#no#cellular#8#jul#3,0#-1,0#0#unknown#no
17738#54,0#admin.#married#unknown#no#1044,0#yes#no#cellular#29#jul#5,0#-1,0#0#unknown#no
38346#32,0#entrepreneur#married#tertiary#no#721,0#yes#no#cellular#15#may#1,0#-1,0#0#unknown#no
316#46,0#admin.#married#secondary#no#-358,0#yes#no#unknown#5#may#2,0#-1,0#0#unknown#no
39643#26,0#student#single#tertiary#no#255,0#no#no#cellular#26#may#2,0#-1,0#0#unknown#no
44861#33,0#management#married#tertiary#no#289,0#no#no#cellular#23#sep#1,0#-1,0#0#unknown#no
6044#34,0#blue-collar#married#primary#no#6575,0#yes#no#unknown#26#may#4,0#-1,0#0#unknown#no
15676#25,0#services#single#secondary#no#64,0#no#no#cellular#21#jul#11,0#-1,0#0#unknown#no
33499#35,0#blue-collar#single#primary#no#1277,0#yes#no#cellular#20#apr#4,0#-1,0#0#unknown#no
538#45,0#blue-collar#married#primary#no#-66,0#yes#no#unknown#6#may#2,0#-1,0#0#unknown#no
2856#41,0#blue-collar#married#secondary#no#-68,0#yes#no#unknown#14#may#2,0#-1,0#0#unknown#no
29756#32,0#unemployed#single#secondary#no#104,0#no#no#cellular#4#feb#3,0#-1,0#0#unknown#no
17925#42,0#services#single#unknown#no#974,0#no#no#cellular#30#jul#2,0#-1,0#0#unknown#no
34488#29,0#admin.#single#secondary#no#0,0#yes#no#cellular#5#may#1,0#365,0#1#other#no
27626#47,0#admin.#married#secondary#no#6695,0#no#no#telephone#21#nov#3,0#-1,0#0#unknown#no
2993#61,0#retired#married#secondary#no#4248,0#yes#no#unknown#14#may#1,0#-1,0#0#unknown#no
22599#51,0#technician#married#secondary#no#130,0#no#no#cellular#22#aug#3,0#-1,0#0#unknown#no
21900#42,0#entrepreneur#married#primary#no#149,0#no#no#cellular#20#aug#2,0#-1,0#0#unknown#no
40581##technician#married#secondary#no#449,0#no#no#cellular#23#jul#3,0#-1,0#0#unknown#no
40793#73,0#management#married#secondary#no#683,0#no#no#telephone#11#aug#1,0#-1,0#0#unknown#no
26847#56,0#technician#single#secondary#no#1437,0#yes#no#cellular#20#nov#8,0#-1,0#0#unknown#no
22810#30,0#management#single#tertiary#no#73,0#no#no#cellular#25#aug#6,0#-1,0#0#unknown#no
31083#47,0#entrepreneur#married#tertiary#no#0,0#no#no#cellular#16#feb#2,0#-1,0#0#unknown#yes
24493#38,0#management#married#tertiary#no#425,0#yes#no#cellular#17#nov#1,0#181,0#1#failure#no
15700##management#married#tertiary#no#-65,0#no#yes#cellular#21#jul#2,0#-1,0#0#unknown#no
25203#33,0#admin.#married#tertiary#no#99,0#yes#yes#cellular#18#nov#2,0#-1,0#0#unknown#no
6208#32,0#technician#married#tertiary#no#168,0#no#no#unknown#27#may#1,0#-1,0#0#unknown#no
24807#54,0#management#married#secondary#no#2203,0#yes#no#telephone#18#nov#1,0#-1,0#0#unknown#no
11411#43,0#self-employed#single#tertiary#no#0,0#no#no#unknown#19#jun#1,0#-1,0#0#unknown#no
9500##technician#married#secondary#no#480,0#no#no#unknown#6#jun#2,0#-1,0#0#unknown#yes
27611#43,0#management#married#tertiary#no#15423,0#yes#yes#cellular#21#nov#2,0#-1,0#0#unknown#no
44511#61,0#retired#married#secondary#no#1853,0#no#no#telephone#10#aug#1,0#181,0#2#success#yes
30019#37,0#technician#married#secondary#yes#-143,0#yes#no#cellular#4#feb#1,0#-1,0#0#unknown#no
12124#45,0#services#single#secondary#no#1515,0#no#no#unknown#20#jun#4,0#-1,0#0#unknown#no
12617#35,0#admin.#married#secondary#yes#0,0#no#yes#unknown#4#jul#3,0#-1,0#0#unknown#no
2531#27,0#services#single#secondary#no#331,0#yes#no#unknown#13#may#2,0#-1,0#0#unknown#no
11026##admin.#divorced#secondary#no#156,0#yes#no#unknown#17#jun#3,0#-1,0#0#unknown#no
12766#43,0#technician#married#secondary#no#-796,0#no#no#cellular#7#jul#4,0#-1,0#0#unknown#no
11351#44,0#blue-collar#married#secondary#no#2092,0#no#yes#unknown#18#jun#1,0#-1,0#0#unknown#no
2456#46,0#blue-collar#married#secondary#no#2485,0#yes#no#unknown#13#may#4,0#-1,0#0#unknown#no
32302#54,0#blue-collar#married#secondary#no#0,0#no#no#telephone#16#apr#1,0#150,0#1#failure#no
24958#58,0#retired#divorced#secondary#no#63,0#no#no#cellular#18#nov#1,0#-1,0#0#unknown#no
43358#58,0#services#married#secondary#no#307,0#no#no#telephone#25#mar#2,0#-1,0#0#unknown#no
15342#47,0#admin.#married#secondary#no#26,0#no#yes#cellular#18#jul#3,0#-1,0#0#unknown#no
39071#31,0#blue-collar#single#primary#no#2369,0#yes#no#cellular#18#may#1,0#-1,0#0#unknown#no
38757#59,0#blue-collar#married#secondary#no#32,0#yes#no#cellular#18#may#5,0#-1,0#0#unknown#no
14801##blue-collar#married#primary#no#208,0#yes#no#cellular#16#jul#1,0#-1,0#0#unknown#no
16593#28,0#technician#married#secondary#no#158,0#yes#yes#telephone#24#jul#1,0#-1,0#0#unknown#no
27517#32,0#entrepreneur#single#tertiary#no#7641,0#yes#yes#cellular#21#nov#10,0#-1,0#0#unknown#no
28717#27,0#admin.#single#secondary#no#116,0#no#no#cellular#30#jan#1,0#-1,0#0#unknown#no
39727#29,0#management#single#tertiary#no#559,0#no#no#telephone#27#may#4,0#-1,0#0#unknown#no
4923##blue-collar#married#secondary#no#932,0#yes#no#unknown#21#may#2,0#-1,0#0#unknown#no
44295#40,0#technician#married#secondary#no#0,0#yes#yes#cellular#26#jul#2,0#172,0#1#failure#no
11561#47,0#services#married#secondary#no#759,0#yes#no#unknown#19#jun#2,0#-1,0#0#unknown#no
39922##blue-collar#married#primary#no#3109,0#no#no#cellular#2#jun#2,0#-1,0#0#unknown#yes
39631#26,0#student#single#tertiary#no#39,0#no#no#cellular#26#may#3,0#-1,0#0#unknown#yes
20392#56,0#unknown#married#unknown#no#15088,0#no#no#cellular#11#aug#4,0#-1,0#0#unknown#no
19538#60,0#management#married#tertiary#no#0,0#no#no#cellular#7#aug#3,0#-1,0#0#unknown#yes
7447##admin.#married#tertiary#no#960,0#yes#no#unknown#29#may#3,0#-1,0#0#unknown#no
25659#35,0#self-employed#married#tertiary#no#8647,0#no#no#cellular#19#nov#2,0#-1,0#0#unknown#no
29618#27,0#admin.#married#secondary#no#-401,0#yes#yes#cellular#3#feb#3,0#214,0#1#failure#no
40349#42,0#technician#married#secondary#no#1539,0#no#no#cellular#19#jun#5,0#211,0#2#failure#no
32782#44,0#management#single#tertiary#no#1277,0#yes#no#cellular#17#apr#1,0#268,0#4#other#no
14826#58,0#blue-collar#married#unknown#no#2516,0#yes#no#cellular#16#jul#1,0#-1,0#0#unknown#no
2632#26,0#blue-collar#married#secondary#no#3108,0#yes#no#unknown#13#may#3,0#-1,0#0#unknown#no
14438#35,0#housemaid#married#primary#no#0,0#yes#no#cellular#14#jul#3,0#-1,0#0#unknown#no
32382#37,0#blue-collar#married#secondary#no#2848,0#yes#no#cellular#16#apr#2,0#147,0#3#failure#no
42994#31,0#management#single#tertiary#no#533,0#no#no#cellular#11#feb#1,0#91,0#9#success#yes
18268#38,0#unemployed#married#primary#no#311,0#no#no#telephone#31#jul#11,0#-1,0#0#unknown#no
42356##admin.#married#secondary#no#1216,0#no#no#cellular#25#nov#1,0#-1,0#0#unknown#no
4691#36,0#blue-collar#single#secondary#no#3111,0#yes#no#unknown#20#may#2,0#-1,0#0#unknown#no
40161#23,0#student#single#secondary#no#9216,0#no#no#cellular#5#jun#2,0#-1,0#0#unknown#no
37435#35,0#blue-collar#single#secondary#no#8040,0#yes#no#cellular#13#may#2,0#-1,0#0#unknown#no
41079#32,0#technician#married#tertiary#no#2976,0#yes#no#cellular#14#aug#5,0#-1,0#0#unknown#no
18487#50,0#blue-collar#married#secondary#no#1553,0#yes#no#cellular#31#jul#2,0#-1,0#0#unknown#no
25247##admin.#married#secondary#no#0,0#yes#yes#cellular#18#nov#3,0#-1,0#0#unknown#no
39146#34,0#admin.#married#secondary#no#1158,0#yes#no#cellular#18#may#7,0#-1,0#0#unknown#no
3759##retired#divorced#secondary#no#70,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#no
30717#46,0#technician#married#tertiary#no#-369,0#yes#yes#cellular#6#feb#4,0#-1,0#0#unknown#no
32435#24,0#admin.#married#secondary#no#0,0#yes#no#cellular#16#apr#1,0#-1,0#0#unknown#no
32789#32,0#technician#single#tertiary#no#-109,0#yes#yes#cellular#17#apr#1,0#-1,0#0#unknown#no
5906#33,0#admin.#married#secondary#no#-167,0#yes#no#unknown#26#may#1,0#-1,0#0#unknown#no
3806#32,0#blue-collar#married#secondary#no#1197,0#yes#yes#unknown#16#may#1,0#-1,0#0#unknown#no
18418#35,0#admin.#divorced#secondary#no#-218,0#no#yes#cellular#31#jul#4,0#-1,0#0#unknown#no
32463#32,0#technician#single#tertiary#no#932,0#yes#no#cellular#16#apr#1,0#318,0#1#failure#yes
33350#32,0#management#married#tertiary#no#3154,0#no#no#cellular#20#apr#2,0#150,0#2#failure#no
34175#28,0#self-employed#single#secondary#no#68,0#no#no#cellular#30#apr#1,0#-1,0#0#unknown#no
29292#30,0#self-employed#single#tertiary#no#432,0#yes#no#cellular#2#feb#1,0#-1,0#0#unknown#yes
6394#37,0#blue-collar#single#tertiary#no#1222,0#no#no#unknown#27#may#2,0#-1,0#0#unknown#no
563#35,0#entrepreneur#married#secondary#yes#204,0#yes#no#unknown#6#may#2,0#-1,0#0#unknown#no
34878##services#married#secondary#no#0,0#yes#yes#cellular#6#may#1,0#281,0#15#other#no
9669#27,0#blue-collar#married#secondary#no#379,0#yes#yes#unknown#6#jun#4,0#-1,0#0#unknown#no
9389#56,0#unknown#divorced#unknown#no#2152,0#no#no#unknown#6#jun#1,0#-1,0#0#unknown#no
594#48,0#retired#married#secondary#no#74,0#no#yes#unknown#6#may#1,0#-1,0#0#unknown#no
21005#55,0#retired#married#primary#no#3334,0#no#no#cellular#14#aug#4,0#-1,0#0#unknown#yes
25205#59,0#housemaid#single#secondary#no#26172,0#no#no#cellular#18#nov#2,0#-1,0#0#unknown#no
12060#44,0#technician#married#secondary#no#5597,0#no#no#unknown#20#jun#3,0#-1,0#0#unknown#no
13729#52,0#entrepreneur#married#primary#no#-104,0#no#yes#cellular#10#jul#1,0#-1,0#0#unknown#no
20524#33,0#technician#married#secondary#no#3243,0#no#no#cellular#12#aug#4,0#-1,0#0#unknown#yes
23513#33,0#technician#single#tertiary#no#0,0#no#no#cellular#28#aug#2,0#-1,0#0#unknown#no
7633#37,0#management#divorced#secondary#no#16,0#yes#no#unknown#30#may#1,0#-1,0#0#unknown#yes
35657##technician#married#secondary#no#1613,0#yes#no#cellular#8#may#1,0#281,0#11#other#no
33480#64,0#retired#married#secondary#no#571,0#yes#no#cellular#20#apr#2,0#-1,0#0#unknown#yes
43363#60,0#retired#married#secondary#no#2060,0#no#no#cellular#26#mar#1,0#88,0#3#other#no
21312#48,0#management#divorced#secondary#no#3324,0#no#no#cellular#18#aug#4,0#-1,0#0#unknown#no
28611##management#married#tertiary#no#358,0#no#no#cellular#29#jan#2,0#-1,0#0#unknown#no
42837#33,0#unemployed#single#tertiary#no#685,0#yes#no#cellular#2#feb#1,0#96,0#2#failure#no
38252#31,0#technician#married#tertiary#no#-256,0#yes#no#cellular#15#may#1,0#365,0#5#failure#no
19013#60,0#blue-collar#married#secondary#no#2879,0#yes#no#cellular#5#aug#1,0#-1,0#0#unknown#no
29138#39,0#technician#married#tertiary#no#794,0#no#no#telephone#2#feb#1,0#-1,0#0#unknown#no
19059#48,0#blue-collar#married#primary#no#574,0#no#no#cellular#5#aug#1,0#-1,0#0#unknown#no
45193#29,0#management#single#tertiary#no#765,0#no#no#cellular#16#nov#1,0#-1,0#0#unknown#yes
20867#44,0#management#divorced#tertiary#no#0,0#no#no#cellular#13#aug#2,0#-1,0#0#unknown#no
34598#47,0#management#married#tertiary#no#1649,0#yes#no#cellular#5#may#2,0#-1,0#0#unknown#no
36907#32,0#technician#married#secondary#no#465,0#yes#no#cellular#12#may#2,0#-1,0#0#unknown#no
39478#49,0#technician#divorced#secondary#no#972,0#no#no#cellular#25#may#2,0#-1,0#0#unknown#no
27323#32,0#technician#single#secondary#no#5600,0#yes#no#cellular#21#nov#1,0#-1,0#0#unknown#no
12831#31,0#technician#single#secondary#no#475,0#no#no#cellular#7#jul#1,0#-1,0#0#unknown#no
32348#30,0#admin.#single#secondary#no#818,0#yes#yes#cellular#16#apr#1,0#346,0#1#failure#no
2098#27,0#management#single#tertiary#no#541,0#yes#no#unknown#12#may#1,0#-1,0#0#unknown#no
40518#25,0#services#divorced#secondary#no#1694,0#no#no#cellular#7#jul#2,0#-1,0#0#unknown#no
14878#26,0#admin.#single#secondary#no#74,0#no#yes#cellular#16#jul#2,0#-1,0#0#unknown#no
13116#26,0#services#single#secondary#no#-90,0#no#yes#cellular#8#jul#1,0#-1,0#0#unknown#no
3815#27,0#blue-collar#single#primary#no#0,0#yes#no#unknown#16#may#1,0#-1,0#0#unknown#no
17138##retired#married#secondary#no#90,0#yes#no#cellular#25#jul#3,0#-1,0#0#unknown#no
36239#45,0#blue-collar#divorced#primary#no#102,0#yes#no#cellular#11#may#1,0#-1,0#0#unknown#no
4898#30,0#blue-collar#single#secondary#yes#239,0#yes#no#unknown#21#may#1,0#-1,0#0#unknown#yes
24946#51,0#entrepreneur#married#primary#no#512,0#no#no#cellular#18#nov#1,0#-1,0#0#unknown#no
1257#38,0#services#married#secondary#no#507,0#yes#no#unknown#8#may#1,0#-1,0#0#unknown#no
23871#31,0#technician#single#secondary#no#-2,0#no#no#cellular#29#aug#2,0#-1,0#0#unknown#no
43038#75,0#retired#married#unknown#no#7819,0#no#no#cellular#15#feb#1,0#97,0#4#other#no
25971#31,0#management#married#tertiary#no#5238,0#yes#yes#cellular#19#nov#2,0#-1,0#0#unknown#no
20384#30,0#technician#single#secondary#no#3927,0#yes#no#cellular#11#aug#1,0#-1,0#0#unknown#no
17116#37,0#blue-collar#single#secondary#no#5024,0#no#yes#cellular#25#jul#4,0#-1,0#0#unknown#yes
31480#54,0#retired#married#secondary#no#1004,0#yes#no#cellular#1#apr#1,0#307,0#1#failure#no
16774##management#married#tertiary#no#272,0#yes#no#cellular#24#jul#1,0#-1,0#0#unknown#no
16502#31,0#technician#single#secondary#no#1014,0#yes#no#cellular#23#jul#4,0#-1,0#0#unknown#no
4182#61,0#blue-collar#married#primary#no#625,0#yes#no#unknown#19#may#2,0#-1,0#0#unknown#no
13090##unemployed#married#secondary#no#455,0#no#no#cellular#8#jul#1,0#-1,0#0#unknown#no
28378#31,0#management#married#tertiary#no#3914,0#no#yes#cellular#29#jan#1,0#-1,0#0#unknown#no
24835#47,0#management#divorced#tertiary#no#428,0#yes#no#cellular#18#nov#1,0#167,0#1#other#no
16674#41,0#blue-collar#married#secondary#yes#720,0#no#yes#cellular#24#jul#1,0#-1,0#0#unknown#yes
1867#30,0#blue-collar#single#secondary#no#18,0#no#no#unknown#9#may#1,0#-1,0#0#unknown#no
27984#32,0#blue-collar#married#secondary#no#0,0#yes#yes#cellular#28#jan#2,0#-1,0#0#unknown#no
36960#37,0#technician#married#secondary#no#135,0#yes#no#cellular#12#may#3,0#-1,0#0#unknown#no
17960##unemployed#married#tertiary#no#579,0#yes#no#cellular#30#jul#2,0#-1,0#0#unknown#no
40707#37,0#admin.#married#secondary#no#96,0#no#no#cellular#7#aug#1,0#99,0#2#success#yes
33736#36,0#student#single#secondary#no#17,0#no#no#cellular#22#apr#1,0#-1,0#0#unknown#yes
33575#40,0#management#single#tertiary#no#759,0#yes#no#telephone#20#apr#2,0#266,0#5#failure#no
26986#43,0#self-employed#married#secondary#no#14144,0#yes#no#cellular#21#nov#1,0#-1,0#0#unknown#yes
19748#48,0#blue-collar#married#primary#no#174,0#yes#yes#cellular#8#aug#8,0#-1,0#0#unknown#no
9562##blue-collar#married#secondary#no#594,0#yes#no#unknown#6#jun#2,0#-1,0#0#unknown#no
42984##technician#divorced#secondary#no#902,0#yes#no#cellular#10#feb#2,0#180,0#5#failure#yes
782##blue-collar#married#secondary#no#1001,0#yes#no#unknown#7#may#4,0#-1,0#0#unknown#no
37368#35,0#blue-collar#married#secondary#no#328,0#yes#no#cellular#13#may#3,0#364,0#1#other#no
12986#53,0#blue-collar#married#primary#no#1086,0#no#no#cellular#7#jul#5,0#-1,0#0#unknown#no
1191#33,0#blue-collar#divorced#primary#no#176,0#yes#no#unknown#8#may#1,0#-1,0#0#unknown#no
10740#40,0#admin.#married#secondary#no#0,0#no#no#unknown#16#jun#12,0#-1,0#0#unknown#no
1508#44,0#technician#single#secondary#no#365,0#yes#no#unknown#8#may#2,0#-1,0#0#unknown#no
17226#59,0#admin.#married#secondary#no#373,0#yes#yes#cellular#28#jul#7,0#-1,0#0#unknown#no
36864#44,0#self-employed#single#tertiary#no#2734,0#yes#no#cellular#12#may#4,0#-1,0#0#unknown#yes
20935#40,0#technician#single#secondary#no#-239,0#no#no#cellular#13#aug#2,0#-1,0#0#unknown#no
15187#40,0#technician#married#tertiary#no#0,0#yes#no#cellular#17#jul#3,0#-1,0#0#unknown#no
24679##admin.#divorced#secondary#no#3337,0#yes#no#telephone#17#nov#3,0#-1,0#0#unknown#no
15072#29,0#management#married#tertiary#no#727,0#yes#no#cellular#17#jul#1,0#-1,0#0#unknown#no
14676#40,0#management#married#tertiary#no#-37,0#no#yes#cellular#15#jul#4,0#-1,0#0#unknown#no
25871#38,0#technician#single#secondary#no#884,0#yes#yes#cellular#19#nov#1,0#111,0#2#failure#no
14712#33,0#admin.#married#secondary#no#0,0#yes#no#cellular#15#jul#6,0#-1,0#0#unknown#no
27787#37,0#management#married#tertiary#no#-76,0#yes#no#cellular#28#jan#1,0#204,0#1#other#no
7543#33,0#management#single#tertiary#no#923,0#yes#no#unknown#30#may#6,0#-1,0#0#unknown#no
44345#30,0#admin.#single#tertiary#no#8,0#no#yes#cellular#30#jul#2,0#150,0#1#failure#no
551#42,0#services#divorced#secondary#no#372,0#yes#yes#unknown#6#may#2,0#-1,0#0#unknown#no
21561#32,0#management#single#tertiary#no#47,0#no#no#cellular#19#aug#4,0#-1,0#0#unknown#no
43326#35,0#admin.#married#secondary#no#304,0#no#no#cellular#18#mar#1,0#-1,0#0#unknown#yes
29790#45,0#blue-collar#married#secondary#no#28,0#no#yes#cellular#4#feb#1,0#222,0#1#other#no
5670#30,0#technician#married#tertiary#no#541,0#yes#no#unknown#26#may#2,0#-1,0#0#unknown#yes
30024#52,0#self-employed#married#primary#no#314,0#yes#no#cellular#4#feb#2,0#-1,0#0#unknown#no
34363#25,0#unemployed#married#secondary#no#715,0#no#no#cellular#4#may#4,0#-1,0#0#unknown#no
15781#26,0#entrepreneur#single#tertiary#no#81,0#no#no#cellular#21#jul#3,0#-1,0#0#unknown#no
36856##technician#married#secondary#no#3,0#yes#yes#cellular#12#may#3,0#-1,0#0#unknown#yes
42694#79,0#retired#married#primary#no#8556,0#no#no#telephone#18#jan#2,0#272,0#2#success#yes
31615#29,0#technician#married#secondary#no#-547,0#yes#yes#cellular#6#apr#1,0#-1,0#0#unknown#no
24143#33,0#management#single#tertiary#no#1956,0#no#no#telephone#8#nov#1,0#-1,0#0#unknown#no
40056#42,0#management#married#tertiary#no#2665,0#yes#no#cellular#4#jun#2,0#126,0#11#failure#yes
30219##student#single#secondary#no#430,0#no#no#cellular#5#feb#4,0#-1,0#0#unknown#no
28260#35,0#services#married#secondary#no#1385,0#yes#no#cellular#29#jan#1,0#-1,0#0#unknown#no
40258#60,0#admin.#married#secondary#no#3547,0#no#no#telephone#15#jun#6,0#-1,0#0#unknown#yes
20706#55,0#housemaid#married#primary#no#1642,0#no#no#cellular#13#aug#2,0#-1,0#0#unknown#no
40722#25,0#management#single#tertiary#no#145,0#no#no#cellular#7#aug#1,0#-1,0#0#unknown#no
27925#27,0#student#single#secondary#no#3,0#no#no#cellular#28#jan#1,0#-1,0#0#unknown#no
6772#31,0#blue-collar#single#secondary#no#1686,0#yes#no#unknown#28#may#2,0#-1,0#0#unknown#no
29086#45,0#services#married#secondary#no#-75,0#yes#no#cellular#2#feb#1,0#252,0#1#failure#no
30841#35,0#unemployed#single#primary#yes#-84,0#no#no#cellular#9#feb#11,0#-1,0#0#unknown#no
37666#26,0#admin.#single#secondary#no#66,0#yes#no#cellular#14#may#1,0#339,0#3#failure#no
21129#46,0#blue-collar#married#secondary#no#0,0#no#no#cellular#14#aug#4,0#-1,0#0#unknown#no
8212#47,0#management#married#tertiary#no#60,0#no#no#unknown#2#jun#7,0#-1,0#0#unknown#no
10625#36,0#housemaid#married#tertiary#yes#-1941,0#yes#no#unknown#16#jun#1,0#-1,0#0#unknown#no
21641#52,0#self-employed#married#tertiary#no#605,0#no#no#cellular#19#aug#4,0#-1,0#0#unknown#no
22548#32,0#management#married#tertiary#no#263,0#no#no#cellular#22#aug#1,0#-1,0#0#unknown#no
35743#53,0#admin.#married#primary#no#0,0#yes#no#cellular#8#may#1,0#298,0#3#failure#no
35917##blue-collar#single#secondary#no#3507,0#yes#no#cellular#8#may#2,0#-1,0#0#unknown#no
5993#31,0#blue-collar#married#secondary#no#27,0#yes#yes#unknown#26#may#5,0#-1,0#0#unknown#no
23770#48,0#blue-collar#married#primary#no#266,0#no#no#telephone#28#aug#5,0#-1,0#0#unknown#no
12354#47,0#self-employed#married#secondary#no#0,0#no#no#unknown#26#jun#8,0#-1,0#0#unknown#no
42917#27,0#management#single#secondary#no#145,0#yes#no#cellular#5#feb#3,0#-1,0#0#unknown#no
31179##management#married#unknown#no#8345,0#no#no#cellular#27#feb#1,0#261,0#1#failure#yes
39720#28,0#management#married#tertiary#no#1109,0#yes#no#cellular#27#may#4,0#310,0#5#failure#no
23410#30,0#management#single#tertiary#no#4,0#no#no#cellular#27#aug#3,0#-1,0#0#unknown#no
29001##technician#single#secondary#no#3244,0#no#no#cellular#2#feb#1,0#5,0#1#failure#no
25616#54,0#unemployed#married#primary#no#6427,0#yes#no#telephone#19#nov#1,0#-1,0#0#unknown#no
21624#55,0#management#divorced#tertiary#no#17,0#no#no#cellular#19#aug#4,0#-1,0#0#unknown#no
38309#38,0#blue-collar#single#primary#no#1583,0#yes#no#cellular#15#may#1,0#-1,0#0#unknown#no
37318#47,0#blue-collar#married#primary#no#-169,0#no#yes#cellular#13#may#1,0#349,0#3#failure#no
21649#31,0#management#single#tertiary#no#0,0#no#no#cellular#19#aug#2,0#-1,0#0#unknown#no
39881#28,0#management#single#unknown#no#560,0#no#no#cellular#2#jun#1,0#-1,0#0#unknown#no
32347#38,0#blue-collar#divorced#secondary#no#614,0#yes#no#cellular#16#apr#2,0#331,0#1#failure#no
12941#31,0#admin.#single#tertiary#no#383,0#no#yes#cellular#7#jul#1,0#-1,0#0#unknown#no
